asu_number,topic_code,title,issued_date,comment_deadline,effective_date_public,effective_date_other,early_adoption_permitted
2014-09,606,Revenue from Contracts with Customers,2014-05-28,2013-03-13,2017-12-15,2018-12-15,TRUE
2016-02,842,Leases,2016-02-25,2013-09-13,2018-12-15,2019-12-15,TRUE
2016-13,326,Financial Instruments - Credit Losses (CECL),2016-06-16,2016-05-31,2019-12-15,2022-12-15,TRUE
2017-04,350,Simplifying the Test for Goodwill Impairment,2017-01-26,2016-05-30,2019-12-15,2021-12-15,TRUE
2017-09,718,Scope of Modification Accounting (Stock Compensation),2017-05-10,2016-11-18,2017-12-15,2017-12-15,TRUE
2018-15,350-40,Customer's Accounting for Implementation Costs in a Cloud Computing Arrangement,2018-08-29,2018-05-11,2019-12-15,2020-12-15,TRUE
2019-12,740,Simplifying the Accounting for Income Taxes,2019-12-18,2019-07-05,2020-12-15,2021-12-15,TRUE
2020-04,848,Reference Rate Reform (LIBOR Transition),2020-03-12,2020-02-06,2020-03-12,2020-03-12,TRUE
2021-08,805,Accounting for Contract Assets and Liabilities from Contracts with Customers,2021-10-28,2021-08-04,2022-12-15,2023-12-15,TRUE
2022-03,820,Fair Value Measurement of Equity Securities Subject to Contractual Sale Restrictions,2022-06-30,2021-11-01,2023-12-15,2024-12-15,TRUE
2022-06,848,Deferral of the Sunset Date of Topic 848,2022-12-21,2022-11-01,2022-12-21,2022-12-21,FALSE
2023-09,740,Improvements to Income Tax Disclosures,2023-12-14,2023-05-30,2024-12-15,2025-12-15,TRUE
2023-01,842,Common Control Arrangements (Leases Amendment),2023-03-27,2022-11-01,2023-12-15,2023-12-15,TRUE
2024-03,220-40,Disaggregation of Income Statement Expenses (DISE),2024-11-04,2023-10-30,2026-12-15,2027-12-15,TRUE
2024-01,718,Scope Application of Profits Interest Awards (Stock Compensation),2024-03-21,2023-11-09,2024-12-15,2025-12-15,TRUE
